abstrak,label
"Kejahatan dari pencurian informasi atau lebih dikenal dengan sebutan cybercrime, menggangu aktifitas jaringan, dan sampai pengrusakan sistem menjadi permasalahan yang juga dialami oleh TamPin. Seringkali jaringan di instansi pemerintah tersebut seringkali mengalami down, koneksi menjadi semakin lambat, dan dimunkinkan adanya penyusup yang mengakses informasi pent ing yang ada di instansi tersebut. Walau belum bisa dipastikan jaringan trouble dikarenakan kesalahan teknis, yang jelas di TamPin belum diterapkan manajemen keamanan sehingga keseluruhan sistem jaringan pada saat sekarang masih bias diakses oleh siapapun dan hal tersebut bias disalah gunakan oleh pihak yang tidak bertanggung jawab.   Untuk itu pada penelit ian ini penulis menawarkan sistem pengamanan jaringan menggunakan Intrusion Detection System (IDS) untuk dipasang di TamPin. IDS sendiri bertugas sebagai pengawas sistem yang akan melakukan ident ifikasi akses oleh siapa saja yang menggunakan sistem. Mesin tools IDS yang akan digunakan pada studi kasus ini menggunakan snort yang akan diintegrasikan dengan SMS Gateway agar bisa memonitoring jaringan secara realtime.  Sistem keamanan yang ada di TamPin mampu memonitoring jaringan secara realt ime dan memberikan report yang disimpan dalam bentuk log file. Filefile  yang tersimpan tersebut bisa di audit menggunakan  AcidBase yang berbentuk grafis melalui web interface. Sedangkan smsgateway akan mengirimkan sms ke admin ketika terjadi serangan yang terindent ifikasi oleh mesin snort.    ",Jaringan
" ABSTRAK   Komunikasi adalah bagian yang tidak dapat dipisahkan dengan kehidupan manusia. Bentuk dan media untuk berkomunikasi juga mengalami perubahan seiring dengan berkembangnya teknologi. Bentuk komunikasi dimulai dengan komunikasi bertatap muka dan melalui surat, kemudian setelah ditemukannya jaringan komputer dan koneksi internet, komunikasi semakin berkembang sehingga dapat dilakukan di mana saja dan kapan saja tanpa harus bertemu langsung pada satu tempat.  Penelitian ini mengembangkan sebuah sistem komunikasi teks antarkomputer melalui protokol internet. Sistem komunikasi ini dikhususkan untuk digunakan pada jaringan lokal atau LAN dan ditulis menggunakan bahasa pemrograman Java (J2SE) dengan memanfaatkan teknologi multicast (MulticastSocket) yang telah didukung dalam pemrograman Java. Metode penelitian yang dipakai adalah metode RAD (Rapid Application Development). Metode RAD adalah metode pengembangan sistem linier sekuensial yang menekankan siklus perkembangan yang sangat pendek dengan menggunakan pendekatan konstruksi berbasis komponen yang meliputi pemodelan bisnis, pemodelan data, pemodelan proses, pembuatan aplikasi dan pengujian.  Berdasarkan pengujian, aplikasi chatting ini dapat berjalan dengan baik. Komunikasi teks yang didukung adalah komunikasi public, komunikasi private dan komunikasi grup. Aplikasi chatting ini menggunakan koneksi peer to peer yang artinya masing-masing komputer berada pada tingkat yang sama. Aplikasi chatting ini dapat dikembangkan lebih lanjut dengan menambah fitur-fitur lain seperti proses login, komunikasi suara, video atau transfer file. div ",Jaringan
" ABSTRAK   Kemajuan teknologi informasi dan komunikasi telah banyak memudahkan manusia dalam berbagai hal terutama dalam berkomunikasi. Keberadaan jaringan internet telah mempermudah manusia untuk dapat berkomunikasi dengan hampir semua orang dengan mudah dan murah. Pemanfaatan internet terkadang kurang efisien karena adanya komunikasi yang sebenarnya bersifat intranet.  Penelitian ini mengembangkan sebuah sistem komunikasi suara antarkomputer melalui protokol internet dan memasangnya pada sebuah instant messenger untuk jaringan lokal. Sistem komunikasi yang dikembangkan memanfaatkan teknologi audio streaming dengan menggunakan Real-time Transport Protocol (RTP) sebagai protokol komunikasi real-time. Sistem ini akan dipasang pada sebuah aplikasi instant messenger, yaitu Mokal. Sistem ini dibangun dengan menggunakan Java dan JMF API (Java Media Framework Application Programming Interface). Metode penelitian yang dipakai adalah pengembangan sistem dengan model linear sekuensial yang meliputi analisis terhadap instant messenger yang akan dikembangkan, perancangan sistem komunikasi suara dan integrasinya pada instant messenger tersebut, implementasi sistem komunikasi suara, serta pengujian yaitu alpha dan beta.  Berdasarkan pengujian, aplikasi VoIP menggunakan real-time transport protocol ini dapat berjalan dengan baik, tetapi ada dalam kualitas suara, yaitu ketika kualitas suara baik gemanya tinggi sedangkan jika gema diperkecil kualitas suaranya menurun. Komunikasi suara yang didukung oleh aplikasi ini adalah komunikasi secara berpasangan maupun berkolompok. div ",Jaringan
" ABSTRAK   Jaringan komputer dengan beberapa kemudahan yang dimiliki tidak akan berdampak yang baik tanpa adanya monitoring (pengawasan) yang dilakukan agar penggunaannya sesuai dengan yang diharapkan, beberapa kekurangan yang dimiliki jaringan komputer yang terhubung tanpa adanya monitoring yaitu; salah satu user masuk pada jaringan komputer lain tanpa ada otoritas yang diperbolehkan, data yang keluar masuk jaringan tidak terkontrol, dan lainnya. Monitoring jaringan lokal adalah salah satu pengawasan yang harus dilakukan untuk mengatur arus data maupun aktivitas-aktivitas yang terjadi pada jaringan agar terkontrol dengan baik dan sesuai dengan ketentuan yang telah ditetapkan pada jaringan lokal tersebut.  Aplikasi monitoring jaringan lokal ini menggunakan tipe jaringan dengan model client-server dan sistem yang dipakai adalah sistem kerja dari backdoor yang memiliki kemampuan stealth atau penyusupan dengan menggunakan kemampuan tersebut, aplikasi ini dapat menyusup atau terpasang pada komputer client tanpa diketahui sehingga aplikasi ini dapat melakukan monitoring. Sedangkan metode pengembangan sistem yang dipakai adalah waterfall. Implementasi perancangan program ini menggunakan salah satu bahasa pemrograman visual yaitu Visual Basic 6.0.  Aplikasi ini memungkinkan administrator untuk mengontrol aktivitas yang dilakukan client dan dapat memberi peringatan apabila aktivitas tersebut tidak sesuai dengan aturan yang telah ditetapkan. Aplikasi ini (aplikasi client) berjalan secara background dan tidak muncul pada Task Manager hingga admin dapat memonitor komputer client tanpa diketahui. Aplikasi monitoring ini dapat membantu administrator dalam mengatur aktivitas-aktivitas pada jaringan lokal. div ",Jaringan
"Mesin antrian yang menggunakan komputer sebagai client dan server dirasa kurang praktis dan efisien. Hal ini dikarenakan mesin antrian membutuhkan banyak komputer sebanyak loket yang ada dan konfigurasi jaringan. Tujuan penelitian ini adalah untuk membuat mesin antrian yang praktis dan mudah digunakan. Dalam pengembangan sistem ini, penulis menggunakan metode prototyping. Sistem antrian ini, menggunakan Arduino Uno yang bertugas untuk mengubah sinyal analog menjadi digital yang ditampilkan pada LED P10, NodeMCU ESP8266 sebagai modul WiFi dan Raspberry Pi 3 sebagai server. Sistem antrian ini dibangun menggunakan bahasa pemrograman javascript dan node.js sebagai perangkat lunak untuk mengembangkan web. Penelitian ini menghasilkan sebuah mesin antrian yang praktis, mudah digunakan dan bersifat portable karena menggunakan wifi untuk koneksinya.",AI
"Pemilihan jurusan yang tepat di perguruan tinggi dapat membuat suatu perbedaan besar, karena siswa perlu menemukan jurusan yang cocok dengan ketertarikan, kemampuan dan kecenderungan bakat mereka. Siswa mempunyai kemampuan berpikir yang berbeda-beda dan bakat yang berbeda-beda pula untuk berbuat sesuatu. Kasus Penelitian yang digunakan mengambil sample berbagai jurusan yang ada di universitas negeri di Indonesia. Siswa memiliki sebuah pilihan jurusan diantara dua puluh sembilan jurusan. Nilai minat, nilai bakat dan nilai kemampuan dasar menjadi bahan pertimbangan dalam memilih jurusan yang tepat. Implementasi menggunakan bahasa pemrograman PHP dan database MySQL berbasis web.  Penelitian ini menggunakan sample data siswa SMA Negeri 1 Kutowinangun Kebumen baik data diri, nilai minat, nilai bakat dan nilai kemampuan dasar. Metode penelitian sistem yang digunakan adalah fuzzy inference system metode mamdani. Metode mamdani paling sesuai dengan naluri manusia, bekerja berdasarkan kaidah linguistik dan memiliki algoritma fuzzy yang menyediakan aproksimasi untuk dimasuki analisa matematik. Data yang diolah dalam metode mamdani yaitu data nilai minat, nilai bakat dan nilai kemampuan dasar. Data tersebut diposes melalui tahap-tahap  perhitungan logika fuzzy dan memberikan keluaran dari sistem berupa rekomendasi jurusan yang disarankan untuk diambil oleh siswa yang bersangkutan.  Sistem ini menampilkan sebuah hasil keputusan untuk memberikan rekomendasi pemilihan jurusan di perguruan tinggi kepada siswa. Sistem ini memberikan informasi mengenai universitas yang mempunyai jurusan yang direkomendasikan. Sistem ini sangat bermanfaat dalam membantu siswa memilih jurusan karena hasil yang diperoleh telah melalui perhitungan logika fuzzy dengan data-data yang valid. Penelitian ini menghasilkan sebuah sistem online yang dapat membantu siswa dalam memutuskan penjurusan.",AI
"Prototipe robot pemadam kebakaran berbasis mikrokontroller dengan modul arduino DFRduino V3 ini, merupakan sebuah embedded system yang diimplementasikan dalam sebuah robot yang berfungsi sebagai pemadam kebakaran otomatis yang jika dikembangkan dengan rangkaian mekanisme yang disesuaikan maka dapat digunakan untuk mencegah atau menangani musibah kebakaran yang terjadi pada gedung atau perumahan. Dalam penelitian ini penulis membuat sensor halangan dengan perbandingan antara sensor halangan pabrikan dan sensor buatan sendiri. Serta pembuatan mekanisme elektronik dan pemrograman yang komplek namun dengan menggunakan logika dasar dan membuatnya menjadi lebih sederhana.  ",AI
"Tujuan dari penelitian ini adalah untuk memanfaatkan mengetahui metode mana yang lebih tepat dalam aplikasi user interface. Metode pengumpulan data yang digunakan adalah studi literatur. Pengumpulan data dengan metode studi literatur dilakukan dengan cara membaca buku, jurnal ilimiah, makalah, dan menggunakan media internet sebagai sumber informasi. Berdasarkan penelitian yang dilakukan dapat disimpulkan bahwa dari kedua metode memiliki kelebihan dan kekurangan. Metode grayscale baik untuk pemrosesan cepat dan pemrosesan image. Sedangkan metode depth baik untuk aplikasi yang membutuhkan tingkat ketelitian tinggi dan memerlukan resource yang tinggi.  ",AI
"Dalam ilmu grafologi, banyak hal yang dapat diungkap dari analisa tulisan tangan yaitu, respon emosi, interaksi sosial, cara pandang diri, produktifitas, dan keberanian menetapkan tujuan. Penelitian ini bertujuan untuk menganalisa tulisan tangan dengan sebuah sistem pakar grafologi dan menyalurkan ilmu grafologi dari pakar kepada masyarakat. Informasi yang dihasilkan di dapat dari wawancara dengan seorang grafologi. Metode pada penelitian ini menggunakan forward chaining sebagai pelacakan mesin inferensinya dan basis pengetahuannya menggunakan pendekatan berbasis aturan (rule-based reasoning). Sistem pakar ini dirancang menggunakan software eclipse. Sistem pakar yang dihasilkan mampu menganalisa karakter manusia sesuai dengan tulisan tangan seseorang. Pengujian dilakukan menggunakan metode black box dimana terdapat 7 responden dalam pengujian sistem pakar ini. Pengujian dilakukan dengan meminta responden untuk menuliskan tulisan tangan sebanyak 4 paragraf kemudian responden mengujikannya ke aplikasi. Selanjutnya hasil analisa dari aplikasi dilihat oleh pakar persentase kevalidannya. Dalam pengujian ini disimpulkan bahwa sistem pakar grafologi ini layak dan bermanfaat. ",AI
"Data pendonor dan kebutuhan darah seperti pada PMI kota Yogyakarta, semakin hari semakin banyak dan bertambah. Data tersebut akan sangat disayangkan jika tidak diolah dan dimanfaatkan. Selain itu juga terdapat permasalahan dalam melakukan pengelolaan darah yang kebanyakan distribusi darah selalu lebih banyak jika dibandingkan dengan jumlah pendonor sehingga PMI mengalami kekurangan jumlah darah. Dengan memanfaatkan metode data mining. Data yang semakin banyak tadi dapat diolah dalam tahapan-tahapan data mining dan ditampilkan kedalam informasi-informasi yang berbeda. Sehingga diharapkan data tersebut dapat kembali dimanfaatkan oleh PMI kota Yogyakarta. Dalam penelitian ini juga menerapkan algoritma linear regression dan least square yang berfungsi untuk mengolah data rentet waktu pendonor dan distribusi darah di PMI Kota Yogyakarta. Dengan menggunakan kedua algoritma tersebut untuk melakukan prediksi permintaan darah, dan terbukti bahwa algoritma linear regression lebih baik dalam penerapannya dibandingkan dengan algoritma least square. Dikarenakan hasil prediksi dari pengujian menunjukan penggunaan algoritma linear regression memiliki residual error yang lebih sedikit yaitu 339.1 sedangkan algoritma least square memiliki tingkat residual error 564.3 dengan demikian algoritma linear regression lebih cocok digunakan untuk data pendonor dan distribusi darah.",AI
"Pengendalian produksi sangat diperlukan dalam mereduksi kemungkinan terjadinya gap yang tinggi antara produksi dengan penjualan sebagai dampak negatif bullwhip effect. CV. nDalem Mulya Mandiri merupakan salah satu perusahaan di Yogyakarta yang memproduksi cokelat dengan berbagai varian rasa. Cokelat olahan yang diproduksi perusahaan dikenal dengan nama Cokelat nDalem. Dalam hal produksi perusahaan masih sering menanggung banyak persediaan akibat tidak adanya forecast pada masing-masing stock keeping unit. Pengendalian produksi berbagai varian Cokelat nDalem dilakukan dengan mengklasifikasikan produk menggunakan metode klasifikasi ABC. Dari metode tersebut diketahui kategori A (produk paling penting dengan persediaan tinggi) adalah varian dark, extra dark, alitan mint, alitan kopi bali, alitan kopi jogja, agengan mint, dan alitan ronde. Bullwhip effect merupakan masalah yang dihadapi perusahaan dalam kegiatan produksi. Oleh karena itu penelitian dilakukan supaya diketahui besarnya bullwhip effect yang terjadi di perusahaan sehingga dapat diminimalkan sebagai langkah pengendalian pada kegiatan produksi dengan menggunakan metode forecast yang sesuai. Hasil penelitian yang dilakukan diketahui data perusahaan adalah pola siklis dan beberapa memiliki kecenderungan tren sehingga digunakan empat metode yang diuji yaitu moving average, weighted moving average, exponential smoothing, dan analisis regresi. Pemilihan metode yang paling tepat dilakukan dengan pemilihan MSE terkecil dari masing-masing forecast. Dari metode forecast terbaik bullwhip effect dapat diminimalkan sehingga nilai bullwhip effect setelah dilakukan forecast menjadi 0.48 (dark), 0.39 (ekstra dark), 0.48 (alitan mint), 0.64 (alitan kopi bali), 0.18 (alitan kopi jogja), 0.13 (agengan mint), 0.43 (alitan ronde). Dari forecast terbaik diperoleh ramalan untuk periode Januari 2016 varian dark sebesar 555 bar, extra dark 345 bar, alitan mint sebesar 194 bar, alitan kopi bali sebesar 278, alitan kopi jogja sebesar 184 bar, agengan mint sebesar 137 bar, alitan ronde sebesar 206 bar.",AI
